date,country,confirmed,deaths,recovered,active
2020-03-08,Bangladesh,6,0.0,0.0,6.0
2020-03-10,Bangladesh,9,0.0,0.0,9.0
2020-03-11,Bangladesh,3,0.0,0.0,3.0
2020-03-13,Bangladesh,3,0.0,0.0,3.0
2020-03-15,Bangladesh,5,0.0,0.0,5.0
2020-03-16,Bangladesh,8,0.0,2.0,6.0
2020-03-17,Bangladesh,10,0.0,3.0,7.0
2020-03-18,Bangladesh,14,1.0,3.0,10.0
2020-03-19,Bangladesh,17,1.0,3.0,13.0
2020-03-20,Bangladesh,20,1.0,3.0,16.0
2020-03-21,Bangladesh,25,2.0,3.0,20.0
2020-03-22,Bangladesh,27,2.0,3.0,22.0
2020-03-23,Bangladesh,33,3.0,5.0,25.0
2020-03-24,Bangladesh,39,4.0,5.0,30.0
2020-03-25,Bangladesh,39,5.0,7.0,27.0
2020-03-26,Bangladesh,44,5.0,11.0,28.0
2020-03-27,Bangladesh,48,5.0,11.0,32.0
2020-03-28,Bangladesh,48,5.0,15.0,28.0
2020-03-29,Bangladesh,48,5.0,15.0,28.0
2020-03-30,Bangladesh,49,5.0,19.0,25.0
2020-03-31,Bangladesh,51,5.0,25.0,21.0
2020-04-01,Bangladesh,54,6.0,25.0,23.0
2020-04-02,Bangladesh,56,6.0,25.0,25.0
2020-04-03,Bangladesh,61,6.0,26.0,29.0
2020-04-04,Bangladesh,70,8.0,30.0,32.0
2020-04-05,Bangladesh,88,9.0,33.0,46.0
2020-04-06,Bangladesh,123,12.0,33.0,78.0
2020-04-07,Bangladesh,164,17.0,33.0,114.0
2020-04-08,Bangladesh,218,20.0,33.0,165.0
2020-04-09,Bangladesh,330,21.0,33.0,276.0
2020-04-10,Bangladesh,424,27.0,33.0,364.0
2020-04-11,Bangladesh,482,30.0,36.0,416.0
2020-04-12,Bangladesh,621,34.0,39.0,548.0
2020-04-13,Bangladesh,803,39.0,42.0,722.0
2020-04-14,Bangladesh,1012,46.0,42.0,924.0
2020-04-15,Bangladesh,1231,50.0,49.0,1132.0
2020-04-16,Bangladesh,1572,60.0,49.0,1463.0
2020-04-17,Bangladesh,1838,75.0,58.0,1705.0
2020-04-18,Bangladesh,2144,84.0,66.0,1994.0
2020-04-19,Bangladesh,2456,91.0,75.0,2290.0
2020-04-20,Bangladesh,2948,101.0,85.0,2762.0
2020-04-21,Bangladesh,3382,110.0,87.0,3185.0
2020-04-22,Bangladesh,3772,120.0,92.0,3560.0
2020-04-23,Bangladesh,4186,127.0,108.0,3951.0
2020-04-24,Bangladesh,4689,131.0,112.0,4446.0
2020-04-25,Bangladesh,4998,140.0,113.0,4745.0
2020-04-26,Bangladesh,5416,145.0,122.0,5149.0
2020-04-27,Bangladesh,5913,152.0,131.0,5630.0
2020-04-28,Bangladesh,6462,155.0,139.0,6168.0
2020-04-29,Bangladesh,7103,163.0,150.0,6790.0
2020-04-30,Bangladesh,7667,168.0,160.0,7339.0
2020-05-01,Bangladesh,8238,170.0,174.0,7894.0
2020-05-02,Bangladesh,8790,175.0,177.0,8438.0
2020-05-03,Bangladesh,9455,177.0,1063.0,8215.0
2020-05-04,Bangladesh,10143,182.0,1209.0,8752.0
2020-05-05,Bangladesh,10929,183.0,1403.0,9343.0
2020-05-06,Bangladesh,11719,186.0,1403.0,10130.0
2020-05-07,Bangladesh,12425,199.0,1910.0,10316.0
2020-05-08,Bangladesh,13134,206.0,2101.0,10827.0
2020-05-09,Bangladesh,13770,214.0,2414.0,11142.0
2020-05-10,Bangladesh,14657,228.0,2650.0,11779.0
2020-05-11,Bangladesh,15691,239.0,2902.0,12550.0
2020-05-12,Bangladesh,16660,250.0,3147.0,13263.0
2020-05-13,Bangladesh,17822,269.0,3361.0,14192.0
2020-05-14,Bangladesh,18863,283.0,3361.0,15219.0
2020-05-15,Bangladesh,20065,298.0,3882.0,15885.0
2020-05-16,Bangladesh,20995,314.0,4117.0,16564.0
2020-05-17,Bangladesh,22268,328.0,4373.0,17567.0
2020-05-18,Bangladesh,23870,349.0,4585.0,18936.0
2020-05-19,Bangladesh,25121,370.0,4993.0,19758.0
2020-05-20,Bangladesh,26738,386.0,5207.0,21145.0
2020-05-21,Bangladesh,28511,408.0,5602.0,22501.0
2020-05-22,Bangladesh,30205,432.0,6190.0,23583.0
2020-05-23,Bangladesh,32078,452.0,6486.0,25140.0
2020-05-24,Bangladesh,33610,480.0,6901.0,26229.0
2020-05-25,Bangladesh,35585,501.0,7334.0,27750.0
2020-05-26,Bangladesh,36751,522.0,7579.0,28650.0
2020-05-27,Bangladesh,38292,544.0,7925.0,29823.0
2020-05-28,Bangladesh,40321,559.0,8425.0,31337.0
2020-05-29,Bangladesh,42844,582.0,9015.0,33247.0
2020-05-30,Bangladesh,44608,610.0,9375.0,34623.0
2020-05-31,Bangladesh,47153,650.0,9781.0,36722.0
2020-06-01,Bangladesh,49534,672.0,10597.0,38265.0
2020-06-02,Bangladesh,52445,709.0,11120.0,40616.0
2020-06-03,Bangladesh,55140,746.0,11590.0,42804.0
2020-06-04,Bangladesh,57563,781.0,12161.0,44621.0
2020-06-05,Bangladesh,60391,811.0,12804.0,46776.0
2020-06-06,Bangladesh,63026,846.0,13325.0,48855.0
2020-06-07,Bangladesh,65769,888.0,13903.0,50978.0
2020-06-08,Bangladesh,68504,930.0,14560.0,53014.0
2020-06-09,Bangladesh,71675,975.0,15337.0,55363.0
2020-06-10,Bangladesh,74865,1012.0,15900.0,57953.0
2020-06-11,Bangladesh,78052,1049.0,16747.0,60256.0
2020-06-12,Bangladesh,81523,1095.0,17249.0,63179.0
2020-06-13,Bangladesh,84379,1139.0,17828.0,65412.0
2020-06-14,Bangladesh,87520,1171.0,18730.0,67619.0
2020-06-15,Bangladesh,90619,1209.0,18731.0,70679.0
2020-06-16,Bangladesh,94481,1262.0,36264.0,56955.0
2020-06-17,Bangladesh,98489,1305.0,38189.0,58995.0
2020-06-18,Bangladesh,102292,1343.0,40164.0,60785.0
2020-06-19,Bangladesh,105535,1388.0,42945.0,61202.0
2020-06-20,Bangladesh,108775,1425.0,43993.0,63357.0
2020-06-21,Bangladesh,112306,1464.0,45077.0,65765.0
2020-06-22,Bangladesh,115786,1502.0,46755.0,67529.0
2020-06-23,Bangladesh,119198,1545.0,47635.0,70018.0
2020-06-24,Bangladesh,122660,1582.0,49666.0,71412.0
2020-06-25,Bangladesh,126606,1621.0,51495.0,73490.0
2020-06-26,Bangladesh,130474,1661.0,53133.0,75680.0
2020-06-27,Bangladesh,133978,1695.0,54318.0,77965.0
2020-06-28,Bangladesh,137787,1738.0,55727.0,80322.0
2020-06-29,Bangladesh,141801,1783.0,57780.0,82238.0
2020-06-30,Bangladesh,145483,1847.0,59624.0,84012.0
2020-07-01,Bangladesh,149258,1888.0,62108.0,85262.0
2020-07-02,Bangladesh,153277,1926.0,66442.0,84909.0
2020-07-03,Bangladesh,156391,1968.0,68048.0,86375.0
2020-07-04,Bangladesh,159679,1997.0,70721.0,86961.0
2020-07-05,Bangladesh,162417,2052.0,72625.0,87740.0
2020-07-06,Bangladesh,165618,2096.0,76149.0,87373.0
2020-07-07,Bangladesh,168645,2151.0,78102.0,88392.0
