country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,vaccines,source_name,source_website,Covaxin,EpiVacCorona,Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing,Sinopharm/Wuhan,Sinovac,Sputnik V,vaccine_ratio
Canada,CAN,2021-01-13,4282,0,4282,42.82,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.00011345404398487697
Canada,CAN,2021-01-14,11567,0,7285,115.67,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.00030647429396848946
Canada,CAN,2021-01-15,22232,0,10665,222.32,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.0005890495810069558
Canada,CAN,2021-01-16,36816,26760,14584,368.16,267.6,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.0009754610189974848
Canada,CAN,2021-01-17,55318,0,18502,553.18,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.0014656821123669836
Canada,CAN,2021-01-18,77739,0,22421,777.39,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.002059739356688545
Canada,CAN,2021-01-19,105268,0,27529,1052.68,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.002789135988369927
Canada,CAN,2021-01-20,133389,0,28121,1333.89,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.003534217999322455
Canada,CAN,2021-01-21,189856,0,56467,1898.56,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.00503034352517347
Canada,CAN,2021-01-22,248279,0,58423,2482.79,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.006578294391994691
Canada,CAN,2021-01-23,305243,59209,56964,3052.43,592.09,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.008087588217673003
Canada,CAN,2021-01-24,360748,0,55505,3607.48,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.009558225002208405
Canada,CAN,2021-01-25,414794,0,54046,4147.94,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.0109902047456009
Canada,CAN,2021-01-26,467221,0,52427,4672.21,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.012379288156155582
Canada,CAN,2021-01-27,525038,0,57817,5250.38,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.013911182705682352
Canada,CAN,2021-01-28,554158,0,29120,5541.58,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.01468273379415494
Canada,CAN,2021-01-29,580697,0,26539,5806.97,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.0153858998084741
Canada,CAN,2021-01-30,606597,113431,25900,6065.97,1134.31,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.016072135151586738
Canada,CAN,2021-01-31,631857,0,25260,6318.57,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.016741413327919757
Canada,CAN,2021-02-01,656478,0,24621,6564.78,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.017393760833046255
Canada,CAN,2021-02-02,679216,0,22738,6792.16,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.017996217174038345
Canada,CAN,2021-02-03,694808,0,15592,6948.08,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.01840933614970677
Canada,CAN,2021-02-04,709819,0,15011,7098.19,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.018807061197408076
Canada,CAN,2021-02-05,724892,0,15073,7248.92,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.019206428970641155
Canada,CAN,2021-02-06,740776,173788,15884,7407.76,1737.88,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.019627284653652783
Canada,CAN,2021-02-07,757471,0,16695,7574.71,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.020069628246442955
Canada,CAN,2021-02-08,774976,0,17505,7749.76,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.020533433253438583
Canada,CAN,2021-02-09,794058,0,19082,7940.58,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.02103902177920211
Canada,CAN,2021-02-10,816174,0,22116,8161.74,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.021624997873730258
Canada,CAN,2021-02-11,840658,0,24484,8406.58,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.022273715485342994
Canada,CAN,2021-02-12,866301,0,25643,8663.01,0.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-administration/,,,,Moderna,,Pfizer/BioNTech,,,,,0.022953141466170692
